id;numero;data;riferimento;tipo;totale;residuo;stato_pagamento
14034;ACQ/2025/09/0054;2025-09-19;4788;in_invoice;123.74;123.74;not_paid
14032;ACQ/2025/09/0056;2025-09-19;4847;in_invoice;310.14;0.0;not_paid
14033;ACQ/2025/09/0057;2025-09-19;4836;in_invoice;355.09;0.0;not_paid
14078;ACQ/2025/09/0061;2025-09-23;4895;in_invoice;528.7;0.0;not_paid
14150;ACQ/2025/09/0076;2025-09-29;4967;in_invoice;213.06;0.0;not_paid
14193;ACQ/2025/09/0079;2025-09-30;5099;in_invoice;1197.59;0.0;not_paid
14194;ACQ/2025/09/0080;2025-09-30;5103;in_invoice;913.51;913.51;not_paid
14192;RACQ/2025/09/0001;2025-09-30;1553;in_refund;170.97;170.97;not_paid
14435;ACQ/2025/10/0033;2025-10-22;1544/FN;in_invoice;63.38;0.0;not_paid
15474;ACQ/2025/10/0048;2025-10-28;1583/FN;in_invoice;213.06;213.06;not_paid
15925;ACQ/2025/10/0072;2025-10-31;1665/FN;in_invoice;74.73;0.0;not_paid
15923;ACQ/2025/10/0073;2025-10-31;5904;in_invoice;243.9;0.0;not_paid
15922;ACQ/2025/10/0074;2025-10-31;5935;in_invoice;123.74;0.0;not_paid
15929;ACQ/2025/10/0078;2025-10-31;5873;in_invoice;1107.46;0.0;not_paid
15934;ACQ/2025/10/0082;2025-10-31;5801;in_invoice;1192.09;1192.09;not_paid
15950;ACQ/2025/10/0083;2025-10-31;1603/FN;in_invoice;0.0;0.0;not_paid
15924;RACQ/2025/10/0002;2025-10-31;1812;in_refund;70.76;70.76;not_paid
15935;RACQ/2025/10/0003;2025-10-31;1790;in_refund;1098.46;1098.46;not_paid
15876;ACQ/2025/11/0030;2025-11-22;1766/FN;in_invoice;14.95;0.0;not_paid
15887;ACQ/2025/11/0036;2025-11-22;6144;in_invoice;142.03;142.03;not_paid
15896;ACQ/2025/11/0048;2025-11-22;1684/FN;in_invoice;284.08;0.0;not_paid
15900;ACQ/2025/11/0050;2025-11-22;6055;in_invoice;1674.88;1674.88;not_paid
15889;ACQ/2025/11/0051;2025-11-22;6107;in_invoice;213.41;124.74;not_paid
15886;ACQ/2025/11/0052;2025-11-22;6157;in_invoice;509.33;509.33;not_paid
15888;RACQ/2025/11/0003;2025-11-22;1874;in_refund;355.09;355.09;not_paid
15999;ACQ/2025/11/0046;2025-11-27;6600;in_invoice;985.17;64.88;not_paid
16038;ACQ/2025/11/0020;2025-11-30;6930;in_invoice;836.99;0.0;not_paid
16028;ACQ/2025/11/0021;2025-11-30;6932;in_invoice;1238.72;432.3;not_paid
16007;ACQ/2025/11/0022;2025-11-30;6690;in_invoice;478.24;0.0;not_paid
16017;ACQ/2025/11/0023;2025-11-30;6827;in_invoice;816.67;0.0;not_paid
16018;RACQ/2025/11/0002;2025-11-30;2004;in_refund;174.46;174.46;not_paid
16429;ACQ/2025/12/0024;2025-12-11;7097;in_invoice;258.25;0.0;not_paid
16430;ACQ/2025/12/0025;2025-12-11;7068;in_invoice;143.47;0.0;not_paid
16469;ACQ/2025/12/0020;2025-12-12;1919/FN;in_invoice;205.64;0.0;not_paid
16836;ACQ/2025/12/0031;2025-12-15;7213;in_invoice;836.99;0.0;not_paid
17087;ACQ/2025/12/0067;2025-12-29;2091/FN;in_invoice;243.9;0.0;not_paid
17085;ACQ/2025/12/0068;2025-12-29;7530;in_invoice;401.72;0.0;not_paid
17086;ACQ/2025/12/0069;2025-12-29;7685;in_invoice;143.47;0.0;not_paid
17088;RACQ/2025/12/0001;2025-12-29;2152;in_refund;239.73;239.73;not_paid
17107;ACQ/2025/12/0066;2025-12-30;7760;in_invoice;837.41;0.0;not_paid
17217;ACQ/2025/12/0088;2025-12-31;7770;in_invoice;502.15;23.91;not_paid
17339;ACQ/2025/12/0097;2025-12-31;7783;in_invoice;2035.07;2035.07;not_paid
17611;ACQ/2026/01/0070;2026-01-31;508;in_invoice;2349.41;275.38;not_paid
17612;RACQ/2026/01/0002;2026-01-31;144;in_refund;244.29;244.29;not_paid
17682;ACQ/2026/02/0018;2026-02-12;231/FN;in_invoice;123.74;0.0;not_paid
17684;ACQ/2026/02/0019;2026-02-12;214/FN;in_invoice;41.85;0.0;not_paid
18422;ACQ/2026/03/0022;2026-03-31;1481;in_invoice;3358.53;3358.53;not_paid
18392;ACQ/2026/03/0024;2026-03-31;1710;in_invoice;1662.37;1662.37;not_paid
18393;ACQ/2026/03/0025;2026-03-31;495;in_invoice;413.1;413.1;not_paid
18423;RACQ/2026/03/0001;2026-03-31;405;in_refund;280.6;280.6;not_paid
18492;ACQ/2026/04/0001;2026-04-14;1756;in_invoice;298.22;298.22;not_paid
43190;ACQ/2026/04/0044;2026-04-30;1947;in_invoice;1340.63;1340.63;not_paid
43220;ACQ/2026/04/0045;2026-04-30;2103;in_invoice;299.95;299.95;not_paid
43221;ACQ/2026/04/0046;2026-04-30;620/FN;in_invoice;3.77;3.77;not_paid
43234;ACQ/2026/04/0055;2026-04-30;2121;in_invoice;62.27;62.27;not_paid
43191;RACQ/2026/04/0002;2026-04-30;574;in_refund;90.89;90.89;not_paid
